n,k,comparisons
400,200,1066
400,200,1066
400,200,1066
400,200,1066
400,200,1066
400,200,1066
400,200,1066
400,200,1066
400,200,1066
400,200,1066
400,200,1066
400,200,1066
400,200,1066
400,200,1066
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,200,1073
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1053
400,300,1143
400,300,1143
400,300,1143
400,300,1143
400,300,1143
400,300,1143
400,300,1143
400,300,1143
400,300,1143
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
400,400,1155
500,1,1383
500,1,1383
500,1,1383
500,1,1383
500,1,1383
500,1,1383
500,1,1383
500,1,1383
500,1,1383
500,1,1383
500,1,1383
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1420
500,1,1480
500,1,1480
500,1,1480
500,1,1480
500,1,1480
500,1,1480
500,1,1480
500,1,1480
500,1,1480
500,1,1480
500,1,1480
500,1,1480
500,1,1480
500,1,1480
500,1,1480
500,1,1480
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1466
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,125,1547
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1540
500,250,1436
500,250,1436
500,250,1436
500,250,1436
500,250,1436
500,250,1436
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
