n,k,comparisons,swaps
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,1263,912
300,150,1263,912
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,300,350,287
300,300,350,287
300,300,350,287
300,300,350,287
300,300,350,287
300,300,350,287
300,300,350,287
300,300,350,287
300,300,350,287
300,300,350,287
300,300,350,287
300,300,350,287
300,300,350,287
300,300,350,287
300,300,372,263
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
300,300,666,294
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,399,2
400,1,664,278
400,1,824,428
400,1,824,428
400,1,824,428
400,1,824,428
400,1,824,428
400,1,824,428
400,1,824,428
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,100,786,359
400,200,900,446
400,200,900,446
400,200,900,446
400,200,900,446
400,200,900,446
400,200,900,446
400,200,900,446
400,200,900,446
400,200,900,446
400,200,900,446
400,200,900,446
400,200,900,446
400,200,900,446
400,200,900,446
400,200,900,446
400,200,900,446
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
